GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B69AA,B69AB,B69AC,B69AAM,B69ABM,B69ACM
G0100010,1970,Alabama,1,10,Autauga County,1,10,Autauga,4298,7003,767,,,
G0100030,1970,Alabama,1,10,Baldwin County,3,30,Baldwin,11419,18067,2038,,,
G0100050,1970,Alabama,1,10,Barbour County,5,50,Barbour,5943,5000,861,,,
G0100070,1970,Alabama,1,10,Bibb County,7,70,Bibb,3499,3413,302,,,
G0100090,1970,Alabama,1,10,Blount County,9,90,Blount,6974,7769,404,,,
G0100110,1970,Alabama,1,10,Bullock County,11,110,Bullock,3164,2344,314,,,
G0100130,1970,Alabama,1,10,Butler County,13,130,Butler,5942,5369,541,,,
G0100150,1970,Alabama,1,10,Calhoun County,15,150,Calhoun,18481,29681,3921,,,
G0100170,1970,Alabama,1,10,Chambers County,17,170,Chambers,8728,10631,847,,,
G0100190,1970,Alabama,1,10,Cherokee County,19,190,Cherokee,4188,4256,329,,,
G0100210,1970,Alabama,1,10,Chilton County,21,210,Chilton,6848,6780,415,,,
G0100230,1970,Alabama,1,10,Choctaw County,23,230,Choctaw,3984,4036,362,,,
G0100250,1970,Alabama,1,10,Clarke County,25,250,Clarke,5516,7228,738,,,
G0100270,1970,Alabama,1,10,Clay County,27,270,Clay,3041,3807,311,,,
G0100290,1970,Alabama,1,10,Cleburne County,29,290,Cleburne,2990,2911,162,,,
G0100310,1970,Alabama,1,10,Coffee County,31,310,Coffee,7215,9768,1040,,,
G0100330,1970,Alabama,1,10,Colbert County,33,330,Colbert,8844,16343,1554,,,
G0100350,1970,Alabama,1,10,Conecuh County,35,350,Conecuh,4184,3746,342,,,
G0100370,1970,Alabama,1,10,Coosa County,37,370,Coosa,2411,3101,196,,,
G0100390,1970,Alabama,1,10,Covington County,39,390,Covington,9669,9148,918,,,
G0100410,1970,Alabama,1,10,Crenshaw County,41,410,Crenshaw,3893,3382,296,,,
G0100430,1970,Alabama,1,10,Cullman County,43,430,Cullman,12557,15229,1113,,,
G0100450,1970,Alabama,1,10,Dale County,45,450,Dale,5624,13573,1895,,,
G0100470,1970,Alabama,1,10,Dallas County,47,470,Dallas,10336,13661,2329,,,
G0100490,1970,Alabama,1,10,DeKalb County,49,490,De Kalb,11444,11645,884,,,
G0100510,1970,Alabama,1,10,Elmore County,51,510,Elmore,6595,10289,967,,,
G0100530,1970,Alabama,1,10,Escambia County,53,530,Escambia,7688,10074,886,,,
G0100550,1970,Alabama,1,10,Etowah County,55,550,Etowah,18570,31440,2765,,,
G0100570,1970,Alabama,1,10,Fayette County,57,570,Fayette,4291,4742,360,,,
G0100590,1970,Alabama,1,10,Franklin County,59,590,Franklin,5809,7320,467,,,
G0100610,1970,Alabama,1,10,Geneva County,61,610,Geneva,5907,5946,554,,,
G0100630,1970,Alabama,1,10,Greene County,63,630,Greene,2914,2046,342,,,
G0100650,1970,Alabama,1,10,Hale County,65,650,Hale,4208,3226,391,,,
G0100670,1970,Alabama,1,10,Henry County,67,670,Henry,3346,3550,349,,,
G0100690,1970,Alabama,1,10,Houston County,69,690,Houston,11143,17068,2133,,,
G0100710,1970,Alabama,1,10,Jackson County,71,710,Jackson,10236,10334,716,,,
G0100730,1970,Alabama,1,10,Jefferson County,73,730,Jefferson,106412,214308,33827,,,
G0100750,1970,Alabama,1,10,Lamar County,75,750,Lamar,4023,3954,284,,,
G0100770,1970,Alabama,1,10,Lauderdale County,77,770,Lauderdale,13022,20434,3016,,,
G0100790,1970,Alabama,1,10,Lawrence County,79,790,Lawrence,6711,6646,328,,,
G0100810,1970,Alabama,1,10,Lee County,81,810,Lee,8874,13154,4386,,,
G0100830,1970,Alabama,1,10,Limestone County,83,830,Limestone,8742,11134,1309,,,
G0100850,1970,Alabama,1,10,Lowndes County,85,850,Lowndes,2962,2306,275,,,
G0100870,1970,Alabama,1,10,Macon County,87,870,Macon,5532,4960,1810,,,
G0100890,1970,Alabama,1,10,Madison County,89,890,Madison,20484,54398,17289,,,
G0100910,1970,Alabama,1,10,Marengo County,91,910,Marengo,5407,5693,761,,,
G0100930,1970,Alabama,1,10,Marion County,93,930,Marion,6707,6449,484,,,
G0100950,1970,Alabama,1,10,Marshall County,95,950,Marshall,12456,16071,1573,,,
G0100970,1970,Alabama,1,10,Mobile County,97,970,Mobile,54202,94444,12072,,,
G0100990,1970,Alabama,1,10,Monroe County,99,990,Monroe,4923,5072,604,,,
G0101010,1970,Alabama,1,10,Montgomery County,101,1010,Montgomery,22664,53769,11119,,,
G0101030,1970,Alabama,1,10,Morgan County,103,1030,Morgan,12904,24484,3418,,,
G0101050,1970,Alabama,1,10,Perry County,105,1050,Perry,4003,2962,531,,,
G0101070,1970,Alabama,1,10,Pickens County,107,1070,Pickens,4922,5410,496,,,
G0101090,1970,Alabama,1,10,Pike County,109,1090,Pike,5342,6332,886,,,
G0101110,1970,Alabama,1,10,Randolph County,111,1110,Randolph,5049,5238,399,,,
G0101130,1970,Alabama,1,10,Russell County,113,1130,Russell,11487,10499,682,,,
G0101150,1970,Alabama,1,10,St. Clair County,115,1150,St Clair,6586,7924,471,,,
G0101170,1970,Alabama,1,10,Shelby County,117,1170,Shelby,7363,10807,1123,,,
G0101190,1970,Alabama,1,10,Sumter County,119,1190,Sumter,4146,3246,592,,,
G0101210,1970,Alabama,1,10,Talladega County,121,1210,Talladega,13777,17681,1675,,,
G0101230,1970,Alabama,1,10,Tallapoosa County,123,1230,Tallapoosa,8080,9866,833,,,
G0101250,1970,Alabama,1,10,Tuscaloosa County,125,1250,Tuscaloosa,20596,32863,6571,,,
G0101270,1970,Alabama,1,10,Walker County,127,1270,Walker,14306,15760,1259,,,
G0101290,1970,Alabama,1,10,Washington County,129,1290,Washington,3765,3631,278,,,
G0101310,1970,Alabama,1,10,Wilcox County,131,1310,Wilcox,3897,3184,473,,,
G0101330,1970,Alabama,1,10,Winston County,133,1330,Winston,4477,4537,303,,,
G0200100,1970,Alaska,2,20,Aleutian Islands,10,100,Aleutian Islands,796,1933,390,,,
G0200200,1970,Alaska,2,20,Anchorage Municipality,20,200,Anchorage,5524,42366,9038,,,
G0200300,1970,Alaska,2,20,Angoon,30,300,Angoon,99,117,4,,,
G0200400,1970,Alaska,2,20,Barrow,40,400,Barrow,749,217,67,,,
G0200500,1970,Alaska,2,20,Bethel Census Area,50,500,Bethel,2129,450,221,,,
G0200600,1970,Alaska,2,20,Bristol Bay Borough,60,600,Bristol Bay Borough,104,313,63,,,
G0200700,1970,Alaska,2,20,Dillingham Census Area,70,700,Bristol Bay Division,856,391,119,,,
G0200800,1970,Alaska,2,20,Cordova-McCarthy,80,800,Cordova-Mc Carthy,176,684,94,,,
G0200900,1970,Alaska,2,20,Fairbanks North Star Borough,90,900,Fairbanks,1847,13867,3147,,,
G0201000,1970,Alaska,2,20,Haines Borough,100,1000,Haines,217,473,107,,,
G0201100,1970,Alaska,2,20,Juneau City and Borough,110,1100,Juneau,725,4736,1529,,,
G0201200,1970,Alaska,2,20,Kenai-Cook Inlet,120,1200,Kenai-Cook Inlet,1013,5080,730,,,
G0201300,1970,Alaska,2,20,Ketchikan Gateway Borough,130,1300,Ketchikan,842,3464,732,,,
G0201400,1970,Alaska,2,20,Kobuk,140,1400,Kobuk,1116,394,102,,,
G0201500,1970,Alaska,2,20,Kodiak Island Borough,150,1500,Kodiak,907,2697,448,,,
G0201600,1970,Alaska,2,20,Kuskokwim,160,1600,Kuskokwim,520,283,103,,,
G0201700,1970,Alaska,2,20,Matanuska-Susitna Borough,170,1700,Matanuska-Susitna,603,2453,250,,,
G0201800,1970,Alaska,2,20,Nome Census Area,180,1800,Nome,1398,719,221,,,
G0201900,1970,Alaska,2,20,Outer Ketchikan,190,1900,Outer Ketchikan,165,521,87,,,
G0202000,1970,Alaska,2,20,Prince Of Wales,200,2000,Prince Of Wales,252,811,58,,,
G0202100,1970,Alaska,2,20,Seward,210,2100,Seward,292,733,101,,,
G0202200,1970,Alaska,2,20,Sitka City and Borough,220,2200,Sitka,523,2210,450,,,
G0202300,1970,Alaska,2,20,Skagway Municipality,230,2300,Skagway-Yakutat,320,570,112,,,
G0202400,1970,Alaska,2,20,Southeast Fairbanks Census Area,240,2400,Southeast Fairbanks,361,1072,239,,,
G0202500,1970,Alaska,2,20,Upper Yukon,250,2500,Upper Yukon,429,389,56,,,
G0202600,1970,Alaska,2,20,Valdez-Chitina-Whittier,260,2600,Valdez-Chitina-Whittier,452,1052,165,,,
G0202700,1970,Alaska,2,20,Wade Hampton Census Area,270,2700,Wade Hampton,1125,121,17,,,
G0202800,1970,Alaska,2,20,Wrangell-Petersburg,280,2800,Wrangell-Petersburg,571,1676,226,,,
G0202900,1970,Alaska,2,20,Yukon-Koyukuk Census Area,290,2900,Yukon-Koyukuk,731,1232,206,,,
G0400010,1970,Arizona,4,40,Apache County,1,10,Apache,6557,4919,1030,,,
G0400030,1970,Arizona,4,40,Cochise County,3,30,Cochise,8638,18179,3228,,,
G0400050,1970,Arizona,4,40,Coconino County,5,50,Coconino,5458,11504,3252,,,
G0400070,1970,Arizona,4,40,Gila County,7,70,Gila,4601,9612,960,,,
G0400090,1970,Arizona,4,40,Graham County,9,90,Graham,2585,4407,712,,,
G0400110,1970,Arizona,4,40,Greenlee County,11,110,Greenlee,1598,3356,341,,,
G0400130,1970,Arizona,4,40,Maricopa County,13,130,Maricopa,115743,329572,65504,,,
G0400150,1970,Arizona,4,40,Mohave County,15,150,Mohave,2979,11116,1057,,,
G0400170,1970,Arizona,4,40,Navajo County,17,170,Navajo,7873,10911,1392,,,
G0400190,1970,Arizona,4,40,Pima County,19,190,Pima,39924,116838,29181,,,
G0400210,1970,Arizona,4,40,Pinal County,21,210,Pinal,12957,17421,2522,,,
G0400230,1970,Arizona,4,40,Santa Cruz County,23,230,Santa Cruz,3016,3313,634,,,
G0400250,1970,Arizona,4,40,Yavapai County,25,250,Yavapai,5932,14328,2590,,,
G0400270,1970,Arizona,4,40,Yuma County,27,270,Yuma,9482,17898,2617,,,
G0500010,1970,Arkansas,5,50,Arkansas County,1,10,Arkansas,5533,6618,699,,,
G0500030,1970,Arkansas,5,50,Ashley County,3,30,Ashley,5199,7141,782,,,
G0500050,1970,Arkansas,5,50,Baxter County,5,50,Baxter,3752,6121,599,,,
G0500070,1970,Arkansas,5,50,Benton County,7,70,Benton,10669,16701,1799,,,
G0500090,1970,Arkansas,5,50,Boone County,9,90,Boone,4344,6485,839,,,
G0500110,1970,Arkansas,5,50,Bradley County,11,110,Bradley,3090,3998,321,,,
G0500130,1970,Arkansas,5,50,Calhoun County,13,130,Calhoun,1304,1729,110,,,
G0500150,1970,Arkansas,5,50,Carroll County,15,150,Carroll,3250,4216,398,,,
G0500170,1970,Arkansas,5,50,Chicot County,17,170,Chicot,5127,3853,432,,,
G0500190,1970,Arkansas,5,50,Clark County,19,190,Clark,3950,5668,1243,,,
G0500210,1970,Arkansas,5,50,Clay County,21,210,Clay,7060,4126,331,,,
G0500230,1970,Arkansas,5,50,Cleburne County,23,230,Cleburne,3592,2771,227,,,
G0500250,1970,Arkansas,5,50,Cleveland County,25,250,Cleveland,1708,2052,85,,,
G0500270,1970,Arkansas,5,50,Columbia County,27,270,Columbia,5340,7955,853,,,
G0500290,1970,Arkansas,5,50,Conway County,29,290,Conway,3585,5299,432,,,
G0500310,1970,Arkansas,5,50,Craighead County,31,310,Craighead,12171,12720,2415,,,
G0500330,1970,Arkansas,5,50,Crawford County,33,330,Crawford,6110,7749,525,,,
G0500350,1970,Arkansas,5,50,Crittenden County,35,350,Crittenden,11414,10240,1027,,,
G0500370,1970,Arkansas,5,50,Cross County,37,370,Cross,5423,4194,377,,,
G0500390,1970,Arkansas,5,50,Dallas County,39,390,Dallas,2475,3124,270,,,
G0500410,1970,Arkansas,5,50,Desha County,41,410,Desha,4797,4221,518,,,
G0500430,1970,Arkansas,5,50,Drew County,43,430,Drew,3352,3808,682,,,
G0500450,1970,Arkansas,5,50,Faulkner County,45,450,Faulkner,4800,9319,1662,,,
G0500470,1970,Arkansas,5,50,Franklin County,47,470,Franklin,2923,3448,279,,,
G0500490,1970,Arkansas,5,50,Fulton County,49,490,Fulton,2666,1986,173,,,
G0500510,1970,Arkansas,5,50,Garland County,51,510,Garland,11484,20018,2249,,,
G0500530,1970,Arkansas,5,50,Grant County,53,530,Grant,2102,3247,204,,,
G0500550,1970,Arkansas,5,50,Greene County,55,550,Greene,7727,6038,635,,,
G0500570,1970,Arkansas,5,50,Hempstead County,57,570,Hempstead,4419,6482,523,,,
G0500590,1970,Arkansas,5,50,Hot Spring County,59,590,Hot Spring,4699,7371,543,,,
G0500610,1970,Arkansas,5,50,Howard County,61,610,Howard,3139,3485,326,,,
G0500630,1970,Arkansas,5,50,Independence County,63,630,Independence,5471,7506,620,,,
G0500650,1970,Arkansas,5,50,Izard County,65,650,Izard,2626,1982,158,,,
G0500670,1970,Arkansas,5,50,Jackson County,67,670,Jackson,5948,5109,495,,,
G0500690,1970,Arkansas,5,50,Jefferson County,69,690,Jefferson,15061,24760,3279,,,
G0500710,1970,Arkansas,5,50,Johnson County,71,710,Johnson,3856,3972,436,,,
G0500730,1970,Arkansas,5,50,Lafayette County,73,730,Lafayette,2551,2754,205,,,
G0500750,1970,Arkansas,5,50,Lawrence County,75,750,Lawrence,5253,3783,406,,,
G0500770,1970,Arkansas,5,50,Lee County,77,770,Lee,5653,2871,411,,,
G0500790,1970,Arkansas,5,50,Lincoln County,79,790,Lincoln,3618,2874,162,,,
G0500810,1970,Arkansas,5,50,Little River County,81,810,Little River,2744,2913,305,,,
G0500830,1970,Arkansas,5,50,Logan County,83,830,Logan,4727,5083,344,,,
G0500850,1970,Arkansas,5,50,Lonoke County,85,850,Lonoke,6110,7476,593,,,
G0500870,1970,Arkansas,5,50,Madison County,87,870,Madison,3436,2002,225,,,
G0500890,1970,Arkansas,5,50,Marion County,89,890,Marion,2077,2421,127,,,
G0500910,1970,Arkansas,5,50,Miller County,91,910,Miller,6831,10642,981,,,
G0500930,1970,Arkansas,5,50,Mississippi County,93,930,Mississippi,15685,13408,1693,,,
G0500950,1970,Arkansas,5,50,Monroe County,95,950,Monroe,4395,3365,307,,,
G0500970,1970,Arkansas,5,50,Montgomery County,97,970,Montgomery,1628,1862,151,,,
G0500990,1970,Arkansas,5,50,Nevada County,99,990,Nevada,2867,2979,251,,,
G0501010,1970,Arkansas,5,50,Newton County,101,1010,Newton,1980,1307,82,,,
G0501030,1970,Arkansas,5,50,Ouachita County,103,1030,Ouachita,6357,10208,918,,,
G0501050,1970,Arkansas,5,50,Perry County,105,1050,Perry,1707,1447,112,,,
G0501070,1970,Arkansas,5,50,Phillips County,107,1070,Phillips,10963,7681,1078,,,
G0501090,1970,Arkansas,5,50,Pike County,109,1090,Pike,2318,2840,185,,,
G0501110,1970,Arkansas,5,50,Poinsett County,111,1110,Poinsett,8638,5113,519,,,
G0501130,1970,Arkansas,5,50,Polk County,113,1130,Polk,3713,4042,418,,,
G0501150,1970,Arkansas,5,50,Pope County,115,1150,Pope,5966,8158,1144,,,
G0501170,1970,Arkansas,5,50,Prairie County,117,1170,Prairie,2885,2680,197,,,
G0501190,1970,Arkansas,5,50,Pulaski County,119,1190,Pulaski,35207,102140,17684,,,
G0501210,1970,Arkansas,5,50,Randolph County,121,1210,Randolph,4632,2735,200,,,
G0501230,1970,Arkansas,5,50,St. Francis County,123,1230,St Francis,7495,6325,906,,,
G0501250,1970,Arkansas,5,50,Saline County,125,1250,Saline,7330,11717,1079,,,
G0501270,1970,Arkansas,5,50,Scott County,127,1270,Scott,2524,2300,132,,,
G0501290,1970,Arkansas,5,50,Searcy County,129,1290,Searcy,2786,1675,138,,,
G0501310,1970,Arkansas,5,50,Sebastian County,131,1310,Sebastian,13068,28266,3216,,,
G0501330,1970,Arkansas,5,50,Sevier County,133,1330,Sevier,2744,3432,413,,,
G0501350,1970,Arkansas,5,50,Sharp County,135,1350,Sharp,2635,2400,282,,,
G0501370,1970,Arkansas,5,50,Stone County,137,1370,Stone,2554,1417,90,,,
G0501390,1970,Arkansas,5,50,Union County,139,1390,Union,8772,15593,1993,,,
G0501410,1970,Arkansas,5,50,Van Buren County,141,1410,Van Buren,2579,2374,186,,,
G0501430,1970,Arkansas,5,50,Washington County,143,1430,Washington,13115,20920,4998,,,
G0501450,1970,Arkansas,5,50,White County,145,1450,White,9685,10909,1172,,,
G0501470,1970,Arkansas,5,50,Woodruff County,147,1470,Woodruff,3297,2628,303,,,
G0501490,1970,Arkansas,5,50,Yell County,149,1490,Yell,3879,4312,226,,,
G0600010,1970,California,6,60,Alameda County,1,10,Alameda,113511,389124,86038,,,
G0600030,1970,California,6,60,Alpine County,3,30,Alpine,58,198,8,,,
G0600050,1970,California,6,60,Amador County,5,50,Amador,1586,4853,593,,,
G0600070,1970,California,6,60,Butte County,7,70,Butte,13287,37449,6299,,,
G0600090,1970,California,6,60,Calaveras County,9,90,Calaveras,2119,5893,651,,,
G0600110,1970,California,6,60,Colusa County,11,110,Colusa,1654,4649,697,,,
G0600130,1970,California,6,60,Contra Costa County,13,130,Contra Costa,46803,201575,51659,,,
G0600150,1970,California,6,60,Del Norte County,15,150,Del Norte,2028,5335,583,,,
G0600170,1970,California,6,60,El Dorado County,17,170,El Dorado,4544,18257,2660,,,
